Model,Type,Cv,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
GBTRegressor,simple,block_splits,all_features,"[20, 5, 0.1, 42]",1653.4188367483578,8569959.523850393,1322.9633066583908,0.10575560527238818,-0.37622765094981464,-0.37782050702730297,6.780785298347473
GBTRegressor,simple,block_splits,most_corr_features,"[20, 5, 0.1, 42]",1515.2167225537694,6421625.933765948,1146.4326511135546,0.09497844204096408,-0.03419245617453422,-0.035389438183995495,5.316696000099182
GBTRegressor,simple,block_splits,least_corr_features,"[20, 5, 0.1, 42]",3022.8102016216217,17939425.965993896,2638.947848029847,0.18496837329843346,-4.090090629713538,-4.095981938312743,8.681477880477905
GBTRegressor,simple_norm,block_splits,all_features,"[20, 5, 0.1, 42]",2540.723351962124,14666326.393246656,2130.9176295614698,0.14200989492764582,-2.314567443863403,-2.3184037487752818,8.504789662361144
GBTRegressor,simple_norm,block_splits,most_corr_features,"[20, 5, 0.1, 42]",2320.1813529196456,12025808.095395945,1971.6892473885364,0.13438580252378557,-2.527922827156519,-2.5320060711694317,5.327675533294678
GBTRegressor,simple_norm,block_splits,least_corr_features,"[20, 5, 0.1, 42]",5863.565645403431,74559819.56493063,5293.168762541531,0.3101341298234701,-27.805970756600175,-27.83931100053142,5.226180791854858
GBTRegressor,cross_val,block_splits,all_features,"[30, 3, 0.4, 42]",2704.052810690867,16016714.596725678,2337.770457243757,0.14351780476970782,-2.053236763789181,-2.056770602636159,4.4903480291366575
GBTRegressor,final_validated,block_splits,all_features,"[30, 3, 0.4, 42]",2704.052810690867,16016714.596725678,2337.770457243757,0.14351780476970782,-2.053236763789181,-2.056770602636159,4.49888596534729
GBTRegressor,final_trained,none,all_features,"[30, 3, 0.4, 42]",1056.9203123566108,1117080.5466719957,659.4431302013596,0.12225556204297348,0.995805778789815,0.9958056818419952,6.770392417907715
