Model,Type,Cv,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
GradientBoostingTreeRegressor,default,walk_forward_splits,all_features,"[20, 5, 0.1, 42]",2598.3296367907033,23112825.666695274,2054.8451841285287,0.148874762744978,-0.5357556234910674,-0.5369854578241932,4.9488673002823536
GradientBoostingTreeRegressor,default,walk_forward_splits,most_corr_features,"[20, 5, 0.1, 42]",2580.8791212832434,22504726.781120397,2039.1107017105808,0.1487597804016862,-0.528231435130269,-0.5294552440873302,4.577095467111339
GradientBoostingTreeRegressor,default,walk_forward_splits,least_corr_features,"[20, 5, 0.1, 42]",5058.435092473478,50786294.955198,4249.858852968212,0.2677884391478236,-4.562912320450034,-4.567367105091036,4.893878646518873
GradientBoostingTreeRegressor,default_norm,walk_forward_splits,all_features,"[20, 5, 0.1, 42]",4303.378031167891,43343633.5220271,3661.204131717811,0.22138916762989833,-2.071441189156807,-2.073900801720697,5.077977605487989
GradientBoostingTreeRegressor,default_norm,walk_forward_splits,most_corr_features,"[20, 5, 0.1, 42]",2990.9586109257284,24273034.703639187,2381.3213927574975,0.1617216494663208,-0.8292679485016237,-0.8307328277396633,5.104528033215066
GradientBoostingTreeRegressor,default_norm,walk_forward_splits,least_corr_features,"[20, 5, 0.1, 42]",5548.710538604306,60886269.94704278,4671.0816531753635,0.29842805417409846,-6.857318778092968,-6.863610925262615,5.000676621561465
GradientBoostingTreeRegressor,cross_val,walk_forward_splits,most_corr_features,"[30, 3, 0.3, 42]",3095.7724306897435,27417244.40984758,2521.245264402592,0.16687356205883178,-0.8640732711476883,-0.865566022515975,4.388628918191661
GradientBoostingTreeRegressor,final_validated,walk_forward_splits,most_corr_features,"[30, 3, 0.3, 42]",3095.7724306897435,27417244.40984758,2521.245264402592,0.16687356205883178,-0.8640732711476883,-0.865566022515975,4.3249362551647685
GradientBoostingTreeRegressor,final_trained,none,most_corr_features,"[30, 3, 0.3, 42]",590.0423476415158,348149.9720103113,378.52322270133675,0.04952616752139989,0.9986928265815019,0.9986927862947731,6.1119184494018555
