Model,Dataset,Features,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Accuracy
LinearRegression,one_week,base_and_most_corr_features_norm,2609.393648157144,6808935.21104285,2440.4971996049335,0.08832995912586489,-2.6637723923158494,-2.6857111491560643,71.32243684992571
LinearRegression,fifteen_days,base_and_most_corr_features_norm,2946.197227459929,8680078.103092572,2846.512298134976,0.1065551217103012,-3.630694821932848,-3.643593693303135,66.6204024982651
LinearRegression,one_month,base_and_most_corr_features_norm,3088.1284523469485,9536537.33819476,2995.746202664027,0.11386182528158943,-6.276873740313749,-6.286667648443378,64.49445750755794
LinearRegression,three_months,base_and_most_corr_features_norm,2282.9022987991357,5211642.905862379,2027.9387570247738,0.07234322422519229,0.5803163620852622,0.5801261803075733,57.835144927536234
GeneralizedLinearRegression,one_week,base_and_most_corr_features_norm,2987.6284231468476,8925923.594794918,2804.7284403544536,0.1014924970552627,-3.8028878861253803,-3.8316476938267305,71.32243684992571
GeneralizedLinearRegression,fifteen_days,base_and_most_corr_features_norm,3423.5880908680206,11720955.415933337,3312.8750540806304,0.12403610169943563,-5.252958430561882,-5.270376142067625,66.6204024982651
GeneralizedLinearRegression,one_month,base_and_most_corr_features_norm,3564.4726524732437,12705465.29022964,3476.982746242145,0.13211654189729535,-8.694930502567672,-8.707978861252151,64.49445750755794
GeneralizedLinearRegression,three_months,base_and_most_corr_features_norm,2579.296793592429,6652771.949436186,2262.8335039396634,0.08058629821383095,0.46426499582006675,0.46402222477478305,56.98596014492754
RandomForestRegressor,one_week,base_features,513.3371102304378,263514.9887397366,365.3132311996768,0.013612132073729135,0.8582070601670184,0.8573580006470605,53.64041604754829
RandomForestRegressor,fifteen_days,base_features,800.7026508615377,641124.7350966935,690.5814005201396,0.026253061373403518,0.6579693228834458,0.6570165911923134,45.038167938931295
RandomForestRegressor,one_month,base_features,980.3470599233112,961080.3579002804,885.7913405791069,0.033960940527324526,0.26664572572629686,0.26565870786051804,41.14880752435337
RandomForestRegressor,three_months,base_features,1846.6041616077898,3409946.9296672083,1317.2155595939819,0.042418881329106164,0.7254034939866782,0.7252790591816421,45.21059782608695
GradientBoostingTreeRegressor,one_week,base_and_least_corr_features,192.48211313500587,37049.363876917196,165.45545847523547,0.0059054923013773675,0.9800643665539706,0.9799449915033955,67.16196136701336
GradientBoostingTreeRegressor,fifteen_days,base_and_least_corr_features,158.1359010024466,25006.96318585559,133.98558858044686,0.004929079902848197,0.9866591505788699,0.986621989438421,53.29632199861207
GradientBoostingTreeRegressor,one_month,base_and_least_corr_features,357.6658797100365,127924.88150875429,256.9391349504171,0.009812594869700896,0.9023866653092749,0.9022552880082106,47.32952636882768
GradientBoostingTreeRegressor,three_months,base_and_least_corr_features,2264.889057921251,5129722.444691412,1197.481512589319,0.03554838806164622,0.5869132601814865,0.5867260678217636,48.57336956521739
