Model,Type,Splitting,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
RandomForestRegressor,default,block_splits,all_features,"[20, 5, 42]",2291.4455334784293,10766874.44234163,1965.3445471830291,0.07602064686951057,-2.9470505292637057,-2.952130388374728,2.155513882637024
RandomForestRegressor,default,block_splits,most_corr_features,"[20, 5, 42]",2104.566557569258,9146047.455654897,1775.007480300475,0.07000448765473206,-2.6313645185683336,-2.636038089377302,1.1781100749969482
RandomForestRegressor,default,block_splits,least_corr_features,"[20, 5, 42]",3950.8768872962455,29314375.775368594,3597.20667014429,0.14265433547619227,-15.234404793419023,-15.25529849328185,1.0380431175231934
RandomForestRegressor,default_norm,block_splits,all_features,"[20, 5, 42]",2853.814653205968,15623363.810659181,2483.9851580082545,0.09679578792164877,-5.889775996396397,-5.898643146970909,1.6084003448486328
RandomForestRegressor,default_norm,block_splits,most_corr_features,"[20, 5, 42]",2292.1304532599756,11384471.998080872,2026.7886773420341,0.07924464706064825,-4.341412181721852,-4.348286586074131,1.2678564548492433
RandomForestRegressor,default_norm,block_splits,least_corr_features,"[20, 5, 42]",5880.427742202558,66271461.82929063,5521.601879666729,0.2255922842221235,-46.25956336946901,-46.320386488348625,0.9888344764709472
RandomForestRegressor,cross_val,block_splits,most_corr_features,"[5, 5, 42]",2483.0146663462992,12908252.754298808,2203.71949427975,0.08820605070848679,-5.758230515401478,-5.76692836677265,0.8261185646057129
