Model,Type,Dataset,Splitting,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
LinearRegression,default_norm,valid,walk_forward_splits,most_rel_features_norm,"[100, 0.0, 0.0]",9119.947926552186,190866543.34457338,7993.093986125549,0.24069218985097615,-28.99250959748778,-29.01652762319147,0.3004837361249057
LinearRegression,cross_val,valid,walk_forward_splits,most_rel_features_norm,"[5, 0.2, 0.2]",9332.122498116038,178482226.98294508,8651.018583809848,0.27413712154689657,-44.300949409775576,-44.33722644633996,0.33582729643041437
