Model,Type,Dataset,Splitting,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
GeneralizedLinearRegression,default,valid,walk_forward_splits,all_features,"[25, 0]",22.956867819648714,1872.0292540235062,19.655343044139755,0.0006205526459383837,0.9998380835677755,0.9998379539049669,0.5132514563473788
GeneralizedLinearRegression,default,valid,walk_forward_splits,most_rel_features,"[25, 0]",11.143602806909156,164.825714230278,8.62171290891194,0.0002762637090334016,0.999976241977328,0.9999762229518847,0.25042845986106177
GeneralizedLinearRegression,default,valid,walk_forward_splits,least_rel_features,"[25, 0]",12250.863052601933,418728011.343923,9903.491424661259,0.2876312026376724,-25.76968075736386,-25.791117939151544,0.278040582483465
GeneralizedLinearRegression,default_norm,valid,walk_forward_splits,all_features_norm,"[25, 0]",2547.8560942595873,18360147.69289412,2145.693637139703,0.062407728907126064,-0.5050447148765951,-0.5062499558895094,0.40631205385381525
GeneralizedLinearRegression,default_norm,valid,walk_forward_splits,most_rel_features_norm,"[25, 0]",9119.947926552186,190866543.34457338,7993.093986125549,0.24069218985097615,-28.99250959748778,-29.01652762319147,0.26610100269317627
GeneralizedLinearRegression,default_norm,valid,walk_forward_splits,least_rel_features_norm,"[25, 0]",9279.897141871099,143421044.7147445,8258.956310411028,0.2631095232683501,-23.694271874088784,-23.714047066780747,0.3057102073322643
GeneralizedLinearRegression,cross_val,valid,walk_forward_splits,most_rel_features_norm,"[5, 0.2, 'gaussian', 'log']",9083.817925877149,189161836.2044839,7974.021442944291,0.2393251883781384,-28.726855362025063,-28.750660651604274,0.21272533590143378
