Model,Type,Splitting,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
RandomForestRegressor,default,walk_forward_splits,most_rel_features,"[20, 5, 42]",3239.5279152797057,19027436.51750186,2657.2615628301137,0.09037023113805688,-1.3457855272173889,-1.3476640341460913,1.3338765989650379
RandomForestRegressor,cross_val,walk_forward_splits,most_rel_features,"[30, 10, 42]",3037.4114212282143,17756074.570996538,2487.278179882944,0.08331039644333349,-0.4365599290146053,-0.43771032735615856,3.9010296301408247
