Model,Type,Splitting,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
GradientBoostingTreeRegressor,default,walk_forward_splits,all_features,"[20, 5, 0.1, 42]",3937.6358462960193,30116648.72383207,3294.292920171511,0.115331544986731,-2.3994370370639206,-2.4021593089654734,7.502450392796443
GradientBoostingTreeRegressor,default,walk_forward_splits,most_corr_features,"[20, 5, 0.1, 42]",3845.1870965621742,29106407.994163677,3189.799265028909,0.1107071505478385,-2.1689686439473017,-2.171506356575087,5.747313160162705
GradientBoostingTreeRegressor,default,walk_forward_splits,least_corr_features,"[20, 5, 0.1, 42]",4619.378221098294,38569076.15665445,3998.077987401265,0.13646000153636836,-3.2365783565019544,-3.239971011842497,5.690152700130756
GradientBoostingTreeRegressor,default_norm,walk_forward_splits,all_features,"[20, 5, 0.1, 42]",4426.307220748998,34159765.416837625,3792.329891424357,0.13094649201062689,-3.413927197382206,-3.417461873816546,5.755388975143433
GradientBoostingTreeRegressor,default_norm,walk_forward_splits,most_corr_features,"[20, 5, 0.1, 42]",4872.37634683931,41883113.3217767,4263.4110635619545,0.14703064347442882,-4.153939620800017,-4.1580668997756325,8.87114799939669
GradientBoostingTreeRegressor,default_norm,walk_forward_splits,least_corr_features,"[20, 5, 0.1, 42]",5059.323846339414,44135392.41813917,4423.534078619259,0.15055479819292933,-4.334999058698093,-4.339271330216571,5.297835001578698
GradientBoostingTreeRegressor,cross_val,walk_forward_splits,most_corr_features,"[30, 5, 0.7, 42]",4865.983757726924,41946136.35284679,4258.844055165623,0.14692481586114342,-4.160429001999412,-4.164561477676689,8.043907128847563
