Date,Open,High,Low,Close,Adj Close,Volume
2021-04-23,0.0,0.0,0.0,0.0,0.0,523817
2021-04-24,0.0,0.0,0.0,0.0,0.0,51157783
2021-04-25,0.0,0.0,0.0,0.0,0.0,14962631
2021-04-26,0.0,0.0,0.0,0.0,0.0,30621745
2021-04-27,0.0,0.0,0.0,0.0,0.0,37492592
2021-04-28,0.0,0.0,0.0,0.0,0.0,84851089
2021-04-29,0.0,0.0,0.0,0.0,0.0,42143816
2021-04-30,0.0,0.0,0.0,0.0,0.0,16929070
2021-05-01,0.0,0.0,0.0,0.0,0.0,12133358
2021-05-02,0.0,0.0,0.0,0.0,0.0,19500754
2021-05-03,0.0,0.0,0.0,0.0,0.0,9215427
2021-05-04,0.0,0.0,0.0,0.0,0.0,4409334
2021-05-05,0.0,0.0,0.0,0.0,0.0,19738774
2021-05-06,0.0,0.0,0.0,0.0,0.0,12066365
2021-05-07,0.0,0.0,0.0,0.0,0.0,17266839
2021-05-08,0.0,9.999999974752427e-07,0.0,0.0,0.0,43586678
2021-05-09,0.0,9.999999974752427e-07,0.0,0.0,0.0,47400336
2021-05-10,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,9.999999974752427e-07,43631428
2021-05-11,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,1.9999999949504854e-06,228067564
2021-05-12,1.9999999949504854e-06,1.9999999949504854e-06,0.0,9.999999974752427e-07,9.999999974752427e-07,331555664
2021-05-13,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,9.999999974752427e-07,99607877
2021-05-14,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,104618437
2021-05-15,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,52944541
2021-05-16,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,9.999999974752427e-07,39393352
2021-05-17,9.999999974752427e-07,9.999999974752427e-07,0.0,0.0,0.0,33964141
2021-05-18,0.0,0.0,0.0,0.0,0.0,27613659
2021-05-19,0.0,0.0,0.0,0.0,0.0,27140636
2021-05-20,0.0,0.0,0.0,0.0,0.0,36555179
2021-05-21,0.0,0.0,0.0,0.0,0.0,39452408
2021-05-22,0.0,0.0,0.0,0.0,0.0,16480899
2021-05-23,0.0,0.0,0.0,0.0,0.0,17897810
2021-05-24,0.0,0.0,0.0,0.0,0.0,15407290
2021-05-25,0.0,0.0,0.0,0.0,0.0,11557037
2021-05-26,0.0,0.0,0.0,0.0,0.0,10438514
2021-05-27,0.0,0.0,0.0,0.0,0.0,18080560
2021-05-28,0.0,0.0,0.0,0.0,0.0,13640608
2021-05-29,0.0,0.0,0.0,0.0,0.0,13989832
2021-05-30,0.0,0.0,0.0,0.0,0.0,7897783
2021-05-31,0.0,0.0,0.0,0.0,0.0,8809746
2021-06-01,0.0,0.0,0.0,0.0,0.0,8855595
2021-06-02,0.0,0.0,0.0,0.0,0.0,10248586
2021-06-03,0.0,0.0,0.0,0.0,0.0,7724459
2021-06-04,0.0,0.0,0.0,0.0,0.0,6212761
2021-06-05,0.0,0.0,0.0,0.0,0.0,4536567
2021-06-06,0.0,0.0,0.0,0.0,0.0,4000763
2021-06-07,0.0,0.0,0.0,0.0,0.0,4011381
2021-06-08,0.0,0.0,0.0,0.0,0.0,5622724
2021-06-09,0.0,0.0,0.0,0.0,0.0,5218894
2021-06-10,0.0,0.0,0.0,0.0,0.0,1905421
2021-06-11,0.0,0.0,0.0,0.0,0.0,4500369
2021-06-12,0.0,0.0,0.0,0.0,0.0,3348951
2021-06-13,0.0,0.0,0.0,0.0,0.0,3394664
2021-06-14,0.0,0.0,0.0,0.0,0.0,3520797
2021-06-15,0.0,0.0,0.0,0.0,0.0,1953203
2021-06-16,0.0,0.0,0.0,0.0,0.0,1817645
2021-06-17,0.0,0.0,0.0,0.0,0.0,1569725
2021-06-18,0.0,0.0,0.0,0.0,0.0,2219913
2021-06-19,0.0,0.0,0.0,0.0,0.0,2632405
2021-06-20,0.0,0.0,0.0,0.0,0.0,1404551
2021-06-21,0.0,0.0,0.0,0.0,0.0,3155730
2021-06-22,0.0,0.0,0.0,0.0,0.0,3612932
2021-06-23,0.0,0.0,0.0,0.0,0.0,3027448
2021-06-24,0.0,0.0,0.0,0.0,0.0,2639852
2021-06-25,0.0,0.0,0.0,0.0,0.0,3078821
