Date,Open,High,Low,Close,Adj Close,Volume
2022-02-08,43896.73046875,45067.0703125,42871.0546875,44102.59765625,44102.59765625,47890666
2022-02-09,44102.59765625,44616.81640625,43310.7265625,44377.4375,44377.4375,40404654
2022-02-10,44377.4375,45502.578125,43410.953125,43602.66796875,43602.66796875,48818790
2022-02-11,43602.66796875,43788.609375,42108.734375,42423.60546875,42423.60546875,56796564
2022-02-12,42423.80859375,42910.63671875,41933.3359375,42189.640625,42189.640625,40696282
2022-02-13,42189.640625,42662.71875,41979.6015625,42189.53125,42189.53125,23372238
2022-02-14,42189.53125,42744.39453125,41655.2890625,42647.6171875,42647.6171875,24975451
2022-02-15,42647.6171875,44521.2265625,42477.375,44521.2265625,44521.2265625,47459824
2022-02-16,44521.2265625,44521.2265625,43425.16015625,44034.03515625,44034.03515625,33861947
2022-02-17,44034.03515625,44113.4140625,40532.765625,40579.4453125,40579.4453125,35183644
2022-02-18,40579.4453125,40934.7109375,39704.19921875,40032.96484375,40032.96484375,36996788
2022-02-19,40032.96484375,40399.51171875,39715.83203125,40055.9140625,40055.9140625,27904497
2022-02-20,40055.9140625,40089.55859375,38096.76171875,38561.41796875,38561.41796875,37143810
2022-02-21,38561.41796875,39350.89453125,36989.62109375,36989.62109375,36989.62109375,59260337
2022-02-22,36987.34765625,38115.671875,36428.86328125,38115.22265625,38115.22265625,53792514
2022-02-23,38115.22265625,39051.01953125,37273.1328125,37273.1328125,37273.1328125,36514298
2022-02-24,37273.1328125,38566.76953125,34414.04296875,38296.43359375,38296.43359375,86155592
2022-02-25,38296.43359375,39553.85546875,38069.26953125,39266.05078125,39266.05078125,74717307
2022-02-26,39266.05078125,39847.83203125,38802.00390625,39031.62890625,39031.62890625,36913150
2022-02-27,39031.62890625,39684.9921875,37257.68359375,37710.2734375,37710.2734375,39045602
2022-02-28,37710.2734375,43705.62890625,37539.4375,43164.06640625,43164.06640625,59642975
2022-03-01,43164.06640625,44672.61328125,42937.4453125,44276.66796875,44276.66796875,59115720
2022-03-02,44276.66796875,44831.6171875,43444.42578125,43919.79296875,43919.79296875,48290414
2022-03-03,43919.79296875,43977.59375,41966.96484375,42545.65625,42545.65625,34176785
2022-03-04,42545.65625,42554.8203125,38778.32421875,39127.921875,39127.921875,36820381
2022-03-05,39127.921875,39564.18359375,38815.6015625,39437.046875,39437.046875,30280901
2022-03-06,39437.046875,39617.00390625,38229.1484375,38421.24609375,38421.24609375,27550367
2022-03-07,38421.24609375,39360.8984375,37260.453125,38098.00390625,38098.00390625,37394006
