Model,Type,Dataset,Splitting,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
GradientBoostingTreeRegressor,default_norm,valid,single_split,least_rel_features_norm,"[20, 5, 0.1, 42]",1568.5640153201775,2460393.070157358,1378.5398234507986,0.05228201255897549,-4.990441068636226,-4.998506287173603,5.6642560958862305
GradientBoostingTreeRegressor,tuned,valid,single_split,least_rel_features_norm,"[5, 3, 0.3, 42]",1519.7891251718625,2309758.984990655,1349.447821364698,0.05121617369033393,-4.623684788485692,-4.631256225427443,1.101212978363037
