Model,Type,Dataset,Splitting,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
RandomForestRegressor,default_norm,valid,single_split,least_rel_features_norm,"[20, 5, 42]",1139.0933493353616,1297533.658500052,980.0289222833304,0.03727679377523674,-2.159169569323898,-2.163422911053045,1.496035099029541
RandomForestRegressor,tuned,valid,single_split,least_rel_features_norm,"[5, 5, 42]",1341.514188816515,1799660.3187960319,1191.651738620084,0.04526589602875237,-3.3817222597774643,-3.3876215829141554,0.7975196838378906
