Model,Type,Cv,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2
GeneralizedLinearRegression,default,walk_forward_splits,all_features,"[25, 0]",32.04466,3.40E+03,25.879043,0.001442,0.999571,0.99957
GeneralizedLinearRegression,default,walk_forward_splits,most_corr_features,"[25, 0]",42.437043,5.00E+03,34.015584,0.001919,0.999297,0.999297
GeneralizedLinearRegression,default,walk_forward_splits,least_corr_features,"[25, 0]",10956.32679,3.85E+08,9004.743502,0.498658,-94.867603,-94.944374
GeneralizedLinearRegression,default_norm,walk_forward_splits,all_features,"[25, 0]",3059.26673,2.88E+07,2451.305013,0.153786,-3.9888,-3.992795
GeneralizedLinearRegression,default_norm,walk_forward_splits,most_corr_features,"[25, 0]",16880.15387,1.21E+09,13418.95895,0.670354,-60.375494,-60.424644
GeneralizedLinearRegression,default_norm,walk_forward_splits,least_corr_features,"[25, 0]",7720.322256,1.41E+08,6582.698148,0.337594,-15.633178,-15.646498
GeneralizedLinearRegression,cross_val,walk_forward_splits,most_corr_features,"[5, 0.2, gaussian, log]",10296.55246,5.00E+08,8494.763057,0.379976,-15.625873,-15.639187
GeneralizedLinearRegression,final_validated,walk_forward_splits,most_corr_features,"[5, 0.2, gaussian, log]",10296.55246,5.00E+08,8494.763057,0.379976,-15.625873,-15.639187
GeneralizedLinearRegression,final_trained,none,most_corr_features,"[5, 0.2, gaussian, log]",7588.320122,5.76E+07,5816.415004,1.549987,0.783799,0.783792
