Model,Type,Cv,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2
GradientBoostingTreeRegressor,default,block_splits,all_features,"[20, 5, 0.1, 42]",1653.418837,8.57E+06,1322.963307,0.105756,-0.376228,-0.378352
GradientBoostingTreeRegressor,default,block_splits,most_corr_features,"[20, 5, 0.1, 42]",1515.216723,6.42E+06,1146.432651,0.094978,-0.034192,-0.035789
GradientBoostingTreeRegressor,default,block_splits,least_corr_features,"[20, 5, 0.1, 42]",3022.810202,1.79E+07,2638.947848,0.184968,-4.090091,-4.097949
GradientBoostingTreeRegressor,default_norm,block_splits,all_features,"[20, 5, 0.1, 42]",2540.723352,1.47E+07,2130.91763,0.14201,-2.314567,-2.319684
GradientBoostingTreeRegressor,default_norm,block_splits,most_corr_features,"[20, 5, 0.1, 42]",2320.181353,1.20E+07,1971.689247,0.134386,-2.527923,-2.533369
GradientBoostingTreeRegressor,default_norm,block_splits,least_corr_features,"[20, 5, 0.1, 42]",5863.565645,7.46E+07,5293.168763,0.310134,-27.805971,-27.850442
GradientBoostingTreeRegressor,final_trained,block_splits,most_corr_features,"[30, 3, 0.7, 42]",2343.758217,1.25E+07,1951.149235,0.141374,-3.087481,-3.093791
GradientBoostingTreeRegressor,final_validated,block_splits,most_corr_features,"[30, 3, 0.7, 42]",2343.758217,1.25E+07,1951.149235,0.141374,-3.087481,-3.093791
GradientBoostingTreeRegressor,final_trained,none,most_corr_features,"[30, 3, 0.7, 42]",589.018582,3.47E+05,378.510996,0.069489,0.998697,0.998697
